sample_id,gen_name,orig_text_clip,gen_text_clip,orig_gen_clip,orig_text_vclip,gen_text_vclip,orig_gen_vclip
7,7.mp4,0.3815512955188751,0.34422436356544495,0.867449164390564,0.26785412430763245,0.26645809412002563,0.7472735643386841
17,17.mp4,0.3527517318725586,0.3684508800506592,0.8581230640411377,0.2503817081451416,0.2005717009305954,0.7523833513259888
21,21.mp4,0.3838578462600708,0.40502309799194336,0.9011052846908569,0.2848561108112335,0.21515141427516937,0.7731900215148926
31,31.mp4,0.35948121547698975,0.341250479221344,0.9122748374938965,0.24073761701583862,0.22776035964488983,0.609367311000824
32,32.mp4,0.39084187150001526,0.3963768780231476,0.8535832166671753,0.29124265909194946,0.3173578083515167,0.7001338005065918
33,33.mp4,0.3259730041027069,0.2505049705505371,0.7612253427505493,0.20201067626476288,0.22125457227230072,0.6603137254714966
34,34.mp4,0.4145117998123169,0.4307337999343872,0.8680788278579712,0.2875136733055115,0.32756149768829346,0.7590533494949341
43,43.mp4,0.40732258558273315,0.414193719625473,0.9621506333351135,0.23697221279144287,0.24795661866664886,0.9261881113052368
46,46.mp4,0.33703237771987915,0.3443475365638733,0.8764430284500122,0.2555714249610901,0.22697220742702484,0.7009595632553101
47,47.mp4,0.4259176552295685,0.438236802816391,0.8920824527740479,0.29632052779197693,0.2680100202560425,0.8620281219482422
50,50.mp4,0.37240004539489746,0.37010034918785095,0.9263754487037659,0.317909300327301,0.3216443359851837,0.8466483354568481
70,70.mp4,0.31964412331581116,0.3953990638256073,0.8035115003585815,0.18745967745780945,0.20330843329429626,0.5776461362838745
72,72.mp4,0.35063332319259644,0.3415037989616394,0.8469353914260864,0.22684934735298157,0.2764022946357727,0.7664697766304016
73,73.mp4,0.3428163230419159,0.3296471834182739,0.8547407388687134,0.19723930954933167,0.1882706582546234,0.753466010093689
74,74.mp4,0.3007989525794983,0.30019789934158325,0.9413036108016968,0.1843082755804062,0.16002927720546722,0.440586119890213
76,76.mp4,0.3620538115501404,0.366264283657074,0.8889479637145996,0.20186357200145721,0.24221843481063843,0.571176290512085
78,78.mp4,0.35121703147888184,0.34280428290367126,0.9625745415687561,0.21912692487239838,0.20576325058937073,0.8899801969528198
79,79.mp4,0.3165993094444275,0.34294164180755615,0.9202466607093811,0.22005395591259003,0.2500646710395813,0.735633373260498
80,80.mp4,0.36028724908828735,0.3555152416229248,0.9414561986923218,0.226475328207016,0.17570771276950836,0.7630536556243896
81,81.mp4,0.3410398066043854,0.36867114901542664,0.8884145021438599,0.25759726762771606,0.19048424065113068,0.782585859298706
82,82.mp4,0.39069491624832153,0.3546864986419678,0.9176101684570312,0.27809029817581177,0.21821147203445435,0.6420412063598633
83,83.mp4,0.33527904748916626,0.37561094760894775,0.9127122759819031,0.22080650925636292,0.1710396111011505,0.8752440214157104
84,84.mp4,0.3576192259788513,0.3987036943435669,0.8830767273902893,0.28832897543907166,0.271444171667099,0.6177854537963867
85,85.mp4,0.27095115184783936,0.26229923963546753,0.8972700834274292,0.07659819722175598,0.10133519768714905,0.45726722478866577
88,88.mp4,0.38032305240631104,0.3599591851234436,0.9103100299835205,0.2606727182865143,0.23808372020721436,0.6691606044769287
99,99.mp4,0.39778828620910645,0.3946397304534912,0.7611078023910522,0.2553492486476898,0.2797006368637085,0.6616805791854858
104,104.mp4,0.3510178327560425,0.37885385751724243,0.8417196273803711,0.17029957473278046,0.2602970004081726,0.6260086297988892
105,105.mp4,0.37818557024002075,0.357791006565094,0.8970873355865479,0.27932363748550415,0.22612902522087097,0.7220670580863953
106,106.mp4,0.38331547379493713,0.39882272481918335,0.8793129920959473,0.24094229936599731,0.18900460004806519,0.6071484684944153
111,111.mp4,0.36238646507263184,0.3221518397331238,0.8702515363693237,0.27949437499046326,0.19777169823646545,0.5721340179443359
112,112.mp4,0.36593738198280334,0.33045873045921326,0.8547421097755432,0.2016943395137787,0.2261917144060135,0.6980688571929932
113,113.mp4,0.34803253412246704,0.38407742977142334,0.855347752571106,0.21162371337413788,0.23358376324176788,0.5241132378578186
